t0 t1 t2 i0 i1 i2 m0 m1 m2 r0 r1 r2 p0 p1 p2 
97.50539 1.26922 2.54627 3.900906 5.09591 4.041273 3.873787 5.09591 4.041276 3.900906 5.095912 4.041275 3.900906 5.09591 4.225293 
97.51682 1.312206 2.632505 4.033012 5.268474 4.178132 4.005893 5.268476 4.178134 4.033012 5.268477 4.178134 4.033012 5.268475 4.362152 
97.52837 1.355829 2.720018 4.167078 5.443599 4.317021 4.139959 5.443601 4.317023 4.167078 5.443603 4.317023 4.167078 5.4436 4.501041 
97.54607 1.422451 2.85367 4.371827 5.711057 4.529137 4.344706 5.711059 4.529137 4.371826 5.711061 4.529138 4.371826 5.711058 4.713156 
97.55804 1.46765 2.944345 4.51074 5.892518 4.673047 4.48362 5.892519 4.673048 4.51074 5.892521 4.673048 4.51074 5.892519 4.857067 
97.57637 1.536699 3.082867 4.722951 6.169732 4.892896 4.695833 6.169734 4.892895 4.722952 6.169735 4.892897 4.722952 6.169733 5.076915 
97.58873 1.583369 3.176496 4.866391 6.357111 5.041496 4.839271 6.357111 5.041496 4.866392 6.357111 5.041495 4.866391 6.357111 5.225516 
97.6077 1.65485 3.3199 5.086092 6.644119 5.269102 5.058971 6.644119 5.269102 5.086092 6.644119 5.269101 5.086092 6.644119 5.453122 
97.62048 1.702994 3.416488 5.234073 6.837441 5.422409 5.206951 6.837441 5.422408 5.234073 6.837442 5.422408 5.234073 6.837441 5.606428 
97.63345 1.751834 3.514471 5.384195 7.033566 5.577932 5.357073 7.033566 5.577932 5.384194 7.033566 5.577932 5.384194 7.033565 5.761952 
97.65311 1.826001 3.663269 5.612174 7.331412 5.814119 5.585052 7.331414 5.814116 5.612173 7.331414 5.814118 5.612174 7.331413 5.998138 
97.66647 1.876263 3.764109 5.766677 7.533272 5.974184 5.739555 7.533273 5.974181 5.766677 7.533271 5.974182 5.766677 7.533272 6.158202 
97.68697 1.953517 3.919104 6.004158 7.843544 6.220212 5.977036 7.843545 6.22021 6.004157 7.843544 6.220212 6.004158 7.843544 6.404232 
97.70048 2.00439 4.021172 6.160545 8.047869 6.38223 6.133423 8.047871 6.382227 6.160545 8.047871 6.382228 6.160546 8.047869 6.566248 
97.72131 2.082939 4.178763 6.40201 8.363354 6.632387 6.374888 8.363355 6.632385 6.402009 8.363353 6.632385 6.402011 8.363354 6.816407 
97.73537 2.13599 4.285202 6.565097 8.576435 6.801345 6.537974 8.576435 6.801342 6.565095 8.576435 6.801343 6.565098 8.576434 6.985363 
97.75677 2.216586 4.446901 6.812857 8.900146 7.058024 6.785733 8.900148 7.058021 6.812855 8.900147 7.058022 6.812856 8.900148 7.242043 
97.77121 2.270987 4.556047 6.980092 9.118649 7.23128 6.952968 9.11865 7.231277 6.98009 9.118649 7.231277 6.980092 9.118649 7.415298 
97.7859 2.326306 4.667037 7.150151 9.34084 7.407461 7.123027 9.340841 7.407459 7.150148 9.340839 7.407458 7.150151 9.340841 7.591479 
97.80791 2.409306 4.83356 7.405301 9.674206 7.671795 7.378176 9.674207 7.671793 7.405298 9.674206 7.671793 7.405301 9.674206 7.855814 
97.82285 2.465547 4.946396 7.57819 9.900091 7.850908 7.551064 9.900093 7.850905 7.578186 9.900093 7.850905 7.57819 9.900093 8.034927 
97.8455 2.550872 5.117583 7.840482 10.24279 8.122643 7.813356 10.24279 8.122641 7.840478 10.24279 8.122642 7.840481 10.24279 8.306662 
97.86076 2.608391 5.232983 8.017296 10.4738 8.305821 7.990171 10.4738 8.305819 8.017291 10.4738 8.30582 8.017298 10.4738 8.489839 
97.8839 2.695611 5.40797 8.285406 10.82409 8.583583 8.258282 10.82409 8.583581 8.285403 10.82409 8.583581 8.285406 10.82409 8.767601 
97.89952 2.754379 5.525875 8.466055 11.0601 8.770734 8.438929 11.0601 8.770731 8.46605 11.0601 8.770731 8.466056 11.0601 8.954751 
97.91521 2.813636 5.644761 8.648207 11.29808 8.959441 8.621079 11.29808 8.959438 8.648199 11.29808 8.959437 8.648206 11.29808 9.143458 
97.93906 2.903433 5.824915 8.924225 11.65868 9.245395 8.897099 11.65868 9.245392 8.924219 11.65868 9.245391 8.924224 11.65869 9.429412 
97.95514 2.963979 5.946385 9.110329 11.90182 9.438196 9.083202 11.90182 9.438193 9.110323 11.90182 9.438193 9.110329 11.90182 9.622212 
97.97949 3.055698 6.130393 9.392246 12.27012 9.730258 9.365117 12.27012 9.730258 9.39224 12.27012 9.730258 9.392245 12.27012 9.914275 
97.99579 3.117122 6.253623 9.581043 12.51677 9.925851 9.553917 12.51677 9.92585 9.581036 12.51676 9.925848 9.581042 12.51677 10.10987 
98.02088 3.211744 6.443452 9.871868 12.89669 10.22714 9.844741 12.89669 10.22714 9.871861 12.89669 10.22714 9.871869 12.8967 10.41116 
98.03721 3.273237 6.566819 10.06087 13.1436 10.42294 10.03374 13.1436 10.42294 10.06086 13.1436 10.42294 10.06087 13.1436 10.60696 
98.06282 3.369725 6.760391 10.35742 13.531 10.73017 10.33029 13.531 10.73017 10.35742 13.531 10.73016 10.35742 13.531 10.91418 
98.07943 3.432306 6.885936 10.54976 13.78224 10.92942 10.52263 13.78224 10.92942 10.54975 13.78224 10.92942 10.54976 13.78224 11.11344 
98.09653 3.496707 7.015133 10.74768 14.04079 11.13447 10.72056 14.04079 11.13447 10.74767 14.04079 11.13447 10.74768 14.04079 11.31848 
98.12244 3.594333 7.210981 11.04771 14.43272 11.44529 11.02058 14.43271 11.44529 11.0477 14.43272 11.44529 11.04771 14.43272 11.62931 
98.13966 3.659252 7.341216 11.24722 14.69333 11.65198 11.22009 14.69332 11.65198 11.24722 14.69333 11.65198 11.24722 14.69333 11.836 
98.16592 3.758166 7.539649 11.5512 15.0904 11.9669 11.52407 15.0904 11.9669 11.5512 15.0904 11.96689 11.5512 15.0904 12.15091 
98.18382 3.825654 7.675033 11.7586 15.36131 12.18175 11.73147 15.36131 12.18176 11.75859 15.3613 12.18175 11.7586 15.36131 12.36577 
98.21023 3.92509 7.874511 12.06417 15.76045 12.49832 12.03704 15.76044 12.49832 12.06417 15.76044 12.49832 12.06417 15.76044 12.68234 
98.22813 3.992568 8.009875 12.27153 16.0313 12.71314 12.2444 16.0313 12.71314 12.27153 16.0313 12.71314 12.27153 16.0313 12.89715 
98.25518 4.09453 8.214417 12.58486 16.44056 13.03774 12.55773 16.44056 13.03773 12.58485 16.44056 13.03773 12.58486 16.44056 13.22175 
98.27339 4.163123 8.352016 12.79564 16.71588 13.2561 12.76851 16.71588 13.2561 12.79564 16.71588 13.2561 12.79564 16.71588 13.44012 
98.29188 4.23279 8.491773 13.00972 16.9955 13.47788 12.9826 16.9955 13.47788 13.00972 16.9955 13.47788 13.00972 16.9955 13.6619 
98.31924 4.335828 8.698473 13.32635 17.40907 13.8059 13.29922 17.40906 13.8059 13.32635 17.40907 13.8059 13.32635 17.40907 13.98992 
98.3381 4.406951 8.841147 13.5449 17.69453 14.03231 13.51778 17.69452 14.03231 13.5449 17.69452 14.03231 13.54491 17.69453 14.21633 
98.36581 4.511417 9.050707 13.86591 18.11381 14.36487 13.83878 18.1138 14.36486 13.86591 18.11381 14.36486 13.86591 18.11381 14.54888 
